outcome_type;sex;Spay/Neuter;outcome_age_(days);Cat/Kitten (outcome);cfa_breed;coat_pattern;color1;color2;breed1;breed2
Transfer;Male;No;14;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;No;30;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;white;black;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;False;;black;white;domestic mediumhair;
Transfer;Male;No;21;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;240;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;tabby;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;;black;white;domestic mediumhair;
Transfer;Female;No;60;Kitten;True;point;seal;;siamese;
Transfer;Female;Yes;14;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;black;;domestic shorthair;
Died;Male;Yes;1095;Cat;False;tabby;orange;;domestic mediumhair;
Adoption;Female;Yes;1460;Cat;True;;blue;;russian blue;
Transfer;Male;Yes;730;Cat;False;tabby;cream ;white;domestic shorthair;
Adoption;Male;Yes;2555;Cat;True;;blue;;russian blue;
Transfer;Female;No;30;Kitten;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown;;domestic mediumhair;
Transfer;Female;No;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;60;Kitten;False;;chocolate;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;torbie;Breed Specific;;domestic shorthair;
Euthanasia;Female;No;60;Kitten;False;tabby;brown;;domestic mediumhair;
Return to Owner;Male;Yes;2190;Cat;False;tabby;blue ;white;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;;black;white;domestic shorthair;
Euthanasia;Female;Yes;14;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic longhair;
Adoption;Male;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;white;black;domestic shorthair;
Transfer;Male;Yes;150;Kitten;False;;black;white;domestic mediumhair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Euthanasia;Female;No;2920;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;3650;Cat;False;;black;white;domestic shorthair;
Transfer;Female;No;60;Kitten;False;tabby;orange;;domestic shorthair;
Euthanasia;Male;No;21;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Female;Yes;2920;Cat;False;torbie;Breed Specific;;domestic shorthair;
Euthanasia;Female;No;28;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;Yes;1095;Cat;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;150;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;1095;Cat;False;tabby;silver;;domestic shorthair;
Transfer;Female;No;5475;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;28;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;14;Kitten;True;point;flame;;siamese;
Transfer;Female;No;300;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;300;Cat;False;;black;;domestic longhair;
Adoption;Male;Yes;330;Cat;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;black;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;tabby;orange;;domestic longhair;
Return to Owner;Male;Yes;2920;Cat;False;tabby;white;orange;domestic shorthair;
Adoption;Female;Yes;180;Cat;False;;blue;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;150;Kitten;True;point;seal;;siamese;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;blue ;white;domestic shorthair;
Euthanasia;Male;No;30;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;No;60;Kitten;False;tabby;orange;;domestic mediumhair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;180;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;cream;;domestic mediumhair;
Transfer;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Return to Owner;Female;Yes;120;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;No;90;Kitten;True;tabby;brown ;white;manx;
Transfer;Male;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;brown;;domestic mediumhair;
Adoption;Female;Yes;5840;Cat;True;point;lynx;;siamese;
Adoption;Male;Yes;60;Kitten;False;;blue;white;domestic longhair;
Return to Owner;Female;Yes;1460;Cat;True;point;lynx;;siamese;
Adoption;Female;Yes;60;Kitten;False;calico;Breed Specific;;domestic mediumhair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Return to Owner;Male;Yes;1095;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Male;Yes;2190;Cat;False;tabby;cream;;domestic shorthair;
Adoption;Male;No;90;Kitten;False;tabby;brown;;domestic longhair;
Transfer;Female;Yes;21;Kitten;False;tabby;cream;;domestic shorthair;
Died;Female;No;30;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;orange ;white;domestic mediumhair;
Transfer;Female;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;smoke;black;;domestic longhair;
Transfer;Female;Yes;240;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;270;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;No;300;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;No;60;Kitten;False;tabby;brown;;domestic mediumhair;
Transfer;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;;white;black;domestic shorthair;
Adoption;Male;No;30;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;120;Kitten;False;calico;Breed Specific;;domestic mediumhair;
Euthanasia;Male;No;3;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;120;Kitten;True;tortie;Breed Specific;;ragdoll;
Transfer;Male;No;30;Kitten;False;;blue;;domestic shorthair;
Euthanasia;Male;No;21;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;180;Cat;False;tortie;Breed Specific;;domestic shorthair;
Euthanasia;Male;No;30;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;365;Cat;False;;black;;domestic mediumhair;
Adoption;Male;Yes;90;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;6;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;730;Cat;True;point;lynx;;siamese;
Euthanasia;Male;No;365;Cat;False;;orange;white;domestic shorthair;
Return to Owner;Female;No;2190;Cat;False;tabby;cream;;domestic mediumhair;
Adoption;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;torbie;Breed Specific;;domestic mediumhair;
Adoption;Male;Yes;1095;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;torbie;Breed Specific;white;domestic shorthair;
Transfer;Male;No;365;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;1460;Cat;False;;blue;white;domestic longhair;
Adoption;Female;Yes;365;Cat;False;tabby;orange ;white;domestic shorthair;
Return to Owner;Male;Yes;1460;Cat;False;;black;;domestic shorthair;
Return to Owner;Male;Yes;4015;Cat;False;tabby;orange ;white;domestic mediumhair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;No;120;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;3650;Cat;False;;white;black;domestic shorthair;
Transfer;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;150;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;1095;Cat;False;;white;;domestic longhair;
Died;Male;No;35;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;No;60;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;270;Cat;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;No;7;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;No;30;Kitten;True;tortie;Breed Specific;;siamese;
Transfer;Male;Yes;365;Cat;True;point;flame;;siamese;
Adoption;Male;Yes;365;Cat;False;;black;;domestic mediumhair;
Transfer;Male;No;90;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;90;Kitten;False;;white;blue;domestic shorthair;
Return to Owner;Male;Yes;240;Cat;False;tabby;white;blue;domestic shorthair;
Adoption;Male;Yes;730;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;2920;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;1825;Cat;True;tortie;Breed Specific;;siamese;
Transfer;Male;Yes;60;Kitten;False;;white;black;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;cream;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;;white;black;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;240;Cat;False;tabby;cream;;domestic shorthair;
Transfer;Female;No;365;Cat;False;;blue;;domestic shorthair;
Euthanasia;Female;No;35;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;No;60;Kitten;False;tabby;cream;;domestic shorthair;
Transfer;Female;No;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;white;domestic mediumhair;
Transfer;Female;No;21;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Euthanasia;Male;Yes;3650;Cat;False;tabby;orange;;domestic mediumhair;
Transfer;Male;No;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;240;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;white;blue;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;Yes;1825;Cat;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;white;domestic mediumhair;
Adoption;Female;Yes;240;Cat;False;;black;white;domestic mediumhair;
Transfer;Female;Yes;180;Cat;False;tortie;Breed Specific;;domestic longhair;
Transfer;Male;No;21;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;3;Kitten;False;;black;;domestic longhair;
Adoption;Male;Yes;270;Cat;False;tabby;orange;;domestic shorthair;
Euthanasia;Female;Yes;365;Cat;False;tabby;orange ;white;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;True;point;seal;;siamese;
Transfer;Male;No;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;False;tabby;orange ;white;domestic shorthair;
Euthanasia;Female;No;120;Kitten;True;point;flame;;siamese;
Transfer;Female;No;2;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;3;Kitten;False;;blue;white;domestic shorthair;
Transfer;Female;No;365;Cat;False;tortie;Breed Specific;;domestic shorthair;
Euthanasia;Male;No;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;210;Cat;False;torbie;Breed Specific;;domestic mediumhair;
Transfer;Male;No;30;Kitten;False;;blue;;domestic shorthair;
Euthanasia;Female;No;365;Cat;False;tabby;blue;;domestic shorthair;
Euthanasia;Male;No;21;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;1825;Cat;False;point;white;seal;snowshoe;domestic shorthair
Adoption;Female;Yes;365;Cat;False;;white;;domestic shorthair;
Died;Male;No;1095;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;5;Kitten;False;tabby;blue;;domestic shorthair;
Euthanasia;Female;No;30;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Euthanasia;Female;Yes;28;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Male;No;730;Cat;False;tabby;blue;;domestic mediumhair;
Transfer;Female;No;120;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;210;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;No;120;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;730;Cat;False;tabby;orange ;white;domestic longhair;
Adoption;Female;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown;;domestic shorthair;
Died;Male;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;tabby;cream;;domestic shorthair;
Euthanasia;Male;No;365;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;cream;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;True;;blue;;russian blue;
Transfer;Female;Yes;150;Kitten;False;tabby;blue ;white;domestic shorthair;
Transfer;Female;Yes;5475;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;No;1095;Cat;False;tabby;brown ;white;domestic shorthair;
Euthanasia;Male;Yes;730;Cat;False;;black;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;True;point;flame;;siamese;
Transfer;Female;No;150;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;2190;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown ;white;domestic mediumhair;
Transfer;Female;No;6;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Male;Yes;210;Cat;False;;black;;domestic shorthair;
Died;Female;No;30;Kitten;False;;blue;white;domestic shorthair;
Transfer;Male;No;730;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tabby;brown ;white;domestic mediumhair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Return to Owner;Male;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Euthanasia;Female;Yes;5475;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;point;seal ;white;snowshoe;
Adoption;Male;Yes;3285;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;300;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;torbie;Breed Specific;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;365;Cat;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;240;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Euthanasia;Male;Yes;365;Cat;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;white;domestic longhair;
Adoption;Male;Yes;120;Kitten;False;;white;;domestic shorthair;
Transfer;Male;Yes;5110;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;3285;Cat;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;2;Kitten;False;;black;;domestic shorthair;
Euthanasia;Female;No;60;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;orange;white;domestic shorthair;
Adoption;Male;Yes;180;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;;white;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;blue ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange ;white;domestic shorthair;
Return to Owner;Male;Yes;1460;Cat;False;;black;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;blue;;domestic mediumhair;
Adoption;Male;Yes;150;Kitten;False;point;flame;;domestic shorthair;
Transfer;Male;No;60;Kitten;False;;blue;white;domestic shorthair;
Transfer;Female;No;240;Cat;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;No;4745;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;210;Cat;True;point;lilac;;siamese;
Adoption;Male;Yes;60;Kitten;False;;blue;white;domestic mediumhair;
Euthanasia;Female;No;150;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;7;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;No;120;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;No;7;Kitten;False;calico;Breed Specific;;domestic shorthair;
Died;Female;No;60;Kitten;False;;blue;;domestic shorthair;
Return to Owner;Male;Yes;1460;Cat;True;tabby;cream;;manx;
Transfer;Female;No;28;Kitten;True;point;lynx;;siamese;
Adoption;Female;No;60;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;blue ;white;domestic mediumhair;
Adoption;Male;Yes;365;Cat;True;point;seal;;siamese;
Transfer;Female;No;1;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;240;Cat;False;;blue;;domestic shorthair;
Transfer;Male;No;365;Cat;False;smoke;black;;domestic shorthair;
Transfer;Female;Yes;3285;Cat;False;tortie;Breed Specific;;domestic shorthair;
Euthanasia;Female;No;90;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;;blue;white;domestic longhair;
Transfer;Female;Yes;1825;Cat;False;calico;Breed Specific;;domestic shorthair;
Return to Owner;Female;No;730;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;orange;;domestic shorthair;
Euthanasia;Female;No;30;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;1460;Cat;True;point;seal;;siamese;
Transfer;Male;No;730;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tortie;Breed Specific;;domestic mediumhair;
Transfer;Male;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Male;Yes;3650;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;7;Kitten;False;tabby;orange;;domestic shorthair;
Euthanasia;Male;No;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;5;Kitten;False;;white;blue;domestic shorthair;
Transfer;Male;No;30;Kitten;False;;blue;;domestic shorthair;
Adoption;Female;Yes;2555;Cat;False;tortie;Breed Specific;;domestic longhair;
Adoption;Female;Yes;730;Cat;False;tabby;white;brown;domestic shorthair;
Adoption;Male;Yes;2190;Cat;False;tabby;white;brown;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;white;black;domestic shorthair;
Adoption;Female;No;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;cream;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;No;7;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;1460;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;white;orange;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;cream;;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Return to Owner;Female;Yes;730;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;No;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;7;Kitten;False;;buff;;domestic shorthair;
Transfer;Male;No;365;Cat;False;;black;white;domestic shorthair;
Euthanasia;Male;No;1095;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
